,Transaction_id,customer_id,Date,Product,Gender,Device_Type,Category,Customer_Login_type,Delivery_Type,Quantity,Amount US$,Individual_Price_US$
49,25740,1804706036,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,3086,237
50,25742,2187463403,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,6915,432
51,25766,1347112776,10/24/2013,Jean,Female,Web,Clothing,Member,one-day deliver,15,4845,323
52,25772,1437947688,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,1898,127
53,25807,2305093267,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,799,53
54,25876,1187138220,10/24/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,16563,920
55,26020,1526809746,10/25/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,0,0
56,26119,1769795719,10/25/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,19,1019,54
57,26137,1635558632,10/25/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,16,3500,219
58,26208,1738942905,10/25/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,12,1399,117
59,26308,1410194024,10/25/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,12,834,70
60,26335,1160940028,10/25/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,199,11
61,26369,1746584750,10/25/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,2995,166
62,26424,1522621488,10/25/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,2399,200
63,26454,2125751489,10/25/2013,Jean,Female,Web,Clothing,Member,one-day deliver,20,79,4
64,26483,1489315613,10/25/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,3538,154
65,26486,1666724676,10/25/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,1499,100
66,26509,2189874217,10/25/2013,Jean,Female,Web,Clothing,Member,one-day deliver,13,2902,223
67,26546,1635266068,10/25/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,12099,550
68,26596,2211476182,10/25/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,0,0
69,26614,1781348395,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,1400,78
70,26619,2095823625,10/26/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,17,5067,298
71,26663,1711343218,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,299,17
72,26674,2120286092,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,3199,145
73,26683,1872482940,10/26/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,21,15000,714
74,26727,2297605369,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,525,44
75,26791,1839012632,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,3943,329
76,26852,1373320762,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,699,58
77,26894,1257564914,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,17,23580,1387
78,26965,1510550268,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,18,2660,148
79,27077,1199502042,10/26/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,18,449,25
80,27218,2156169962,10/27/2013,Shirt,Male,Web,Clothing,Guest,one-day delivery,19,0,0
81,27310,1954102314,10/27/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,14,1868,133
82,27345,2130010644,10/27/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,7390,493
83,27428,1963053925,10/27/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,4900,245
84,27462,2071493983,10/27/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,2159,108
85,27489,1320672813,10/27/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,1299,59
86,27499,1695805349,10/27/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,20,1300,65
87,27542,1900237464,10/27/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,28999,1318
88,27613,1619092702,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,0,0
89,27618,1289352163,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,0,0
90,27750,1323739277,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,7740,455
91,27775,2226790884,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,2186,99
92,27796,1393294744,10/28/2013,Shirt,Male,Web,Clothing,Member,Normal Delivery,13,3395,261
93,27845,2139204022,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,1099,61
94,27861,2020268786,10/28/2013,Jean,Female,Web,Clothing,Member,one-day deliver,18,1692,94
95,27899,1862956698,10/28/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,14,0,0
96,27957,2113927830,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,3671,204
97,28033,1675829767,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,3689,231
98,28105,1719948130,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,14594,695
99,28109,1547453903,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,1150,64
100,28163,1461758289,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,454,32
101,28285,2220923299,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,22,18900,859
102,28287,1715832365,10/28/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,16,0,0
103,28334,2202960710,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,12,0,0
104,28355,2112762380,10/29/2013,Shirt,Male,Web,Clothing,Guest,one-day delivery,18,1000,56
105,28370,2252528268,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,18,1499,83
106,28432,1229037895,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,515,25
107,28459,1305708365,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,2432,143
108,28546,1486275074,10/29/2013,Jean,Female,Web,Clothing,Member,one-day deliver,15,5724,382
109,28555,1177016569,10/29/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,20,2593,130
110,28612,2231801682,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,2498,156
111,28646,1263534494,10/29/2013,Shirt,Male,Web,Clothing,Member,Normal Delivery,13,0,0
112,28659,1917204751,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,749,33
113,28679,1444759876,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,1000,50
114,28680,1801177080,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,999,50
115,28717,1165185741,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,757,63
116,28776,1899198098,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,600,38
117,28793,1778914743,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,6545,385
118,28833,1673189207,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,499,29
119,28895,1172513279,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,12396,775
120,28916,2053987159,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,4500,250
121,28963,1212640624,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,2341,130
122,28988,2053586342,10/29/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,2190,168
123,29101,1611887877,10/30/2013,Jean,Female,Web,Clothing,Member,one-day deliver,17,4279,252
124,29230,1314068798,10/30/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,7595,447
125,29250,1331954603,10/30/2013,Jean,Female,Web,Clothing,Member,Normal Delivery,14,2350,168
126,29379,2228662543,10/30/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,1833,102
127,29385,2004426342,10/30/2013,Shirt,Male,Web,Clothing,Member,Normal Delivery,14,0,0
128,29401,1509175728,10/30/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,22452,1497
129,29490,1793755481,10/30/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,8939,639
130,29546,1324607132,10/30/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,21,1699,81
131,29560,1382495835,10/30/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,5999,353
132,29806,1186382531,10/30/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,710,32
133,29816,1506817852,10/30/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,1000,59
134,29872,1766979440,10/30/2013,Jean,Female,Web,Clothing,Member,one-day deliver,18,2999,167
135,29880,1275226974,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,500,22
136,29955,1591228466,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,2299,115
137,29966,2170330530,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,12500,781
138,30003,1552597949,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,24999,1389
139,30014,1619272121,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,2395,133
140,30023,1450785345,10/31/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,14,1620,116
141,30126,1347124751,10/31/2013,Jean,Female,Web,Clothing,Member,one-day deliver,18,5274,293
142,30149,2301397930,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,2045,102
143,30264,1295360170,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,2524,140
144,30376,1226730549,10/31/2013,Jean,Female,Web,Clothing,Member,one-day deliver,22,8100,368
146,30404,1803096414,10/31/2013,Jean,Female,Web,Clothing,Member,one-day deliver,20,1600,80
147,30478,1350107598,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,2372,182
148,30521,1659505165,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,299,18
149,30577,1456658604,10/31/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,297,15
150,30592,2091784832,10/31/2013,Jean,Female,Web,Clothing,Member,one-day deliver,17,1019,60
151,30714,2119676740,11/1/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,900,53
152,30766,1897885706,11/1/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,0,0
153,30798,1956920123,11/1/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,2089,123
154,30842,1986506263,11/1/2013,Shirt,Male,Web,Clothing,Member,Normal Delivery,17,3959,233
155,30854,2147841796,11/1/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,0,0
156,30947,1664059393,11/1/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,5340,297
157,31006,2108659408,11/1/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,1710,86
158,31097,1252540319,11/1/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,599,40
159,31114,1790432436,11/1/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,1014,60
160,31115,2019953468,11/1/2013,Jean,Female,Web,Clothing,Member,one-day deliver,18,800,44
161,31480,1223387710,11/2/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,30900,1343
162,31521,1500216138,11/2/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,1130,63
163,31703,1568242512,11/2/2013,Jean,Female,Web,Clothing,Member,one-day deliver,17,2997,176
164,31748,1659223980,11/2/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,7200,313
165,31869,1323517774,11/2/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,2324,137
166,31891,1377205025,11/2/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,5200,306
167,31938,1454108665,11/2/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,1130,63
168,32027,1184151671,11/2/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,750,42
169,32098,1960418213,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,15,57591,3839
170,32122,2275458993,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,500,23
171,32142,1784285563,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,2276,99
172,32165,1403732912,11/4/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,13,4999,385
173,32249,1703865943,11/4/2013,Jean,Female,Web,Clothing,Member,one-day deliver,22,2100,95
174,32306,1779245746,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,100,6
175,32330,1672623457,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,500,25
176,32393,1206754566,11/4/2013,Jean,Female,Web,Clothing,Member,one-day deliver,16,1000,63
177,32428,1908177182,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,0,0
178,32432,2013283594,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,0,0
179,32472,1507049839,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,3599,257
180,32505,2026316354,11/4/2013,Shirt,Male,Web,Clothing,Member,Normal Delivery,15,5744,383
181,32669,1947963039,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,799,42
182,32733,1742271696,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,3399,243
183,32758,1514021318,11/4/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,0,0
184,32787,2207815082,11/4/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,12,2900,242
185,32927,1266020250,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,561,47
186,33004,1205669390,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,1694,81
187,33006,2225478020,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,150,8
188,33098,1987188237,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,5800,341
189,33167,1986519178,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,5290,230
190,33203,1683895965,11/5/2013,Jean,Female,Web,Clothing,Member,one-day deliver,17,2350,138
191,33231,1608625040,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,3800,224
192,33247,1465942574,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,2598,186
193,33282,1944645210,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,1400,64
194,33390,1388847774,11/5/2013,Jean,Female,Web,Clothing,Member,one-day deliver,17,1999,118
195,33437,2230812003,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,4140,180
196,33448,1926020780,11/5/2013,Jean,Female,Web,Clothing,Member,one-day deliver,18,699,39
197,33465,1761505918,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,293,17
198,33483,1727688784,11/5/2013,Jean,Female,Web,Clothing,Member,one-day deliver,17,1294,76
199,33495,1446348391,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,1000,43
200,33571,1574893155,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,250,21
201,33600,1349528631,11/5/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,1000,77
202,33638,1452467790,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,1950,115
203,33658,1294127003,11/6/2013,Jean,Female,Web,Clothing,Member,one-day deliver,18,2298,128
204,33674,1732077938,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,12483,1040
205,33675,1193028303,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,500,25
206,33711,2170861954,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,3500,194
207,33771,1406039680,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,2879,240
208,33805,1897605542,11/6/2013,Jean,Female,Web,Clothing,Member,one-day deliver,18,1200,67
209,33807,1454398544,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,2275,114
210,33833,2288686534,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,2300,135
211,33875,1970809054,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,450,21
212,33923,1166887518,11/6/2013,Jean,Female,Web,Clothing,Member,one-day deliver,20,3250,163
213,34030,1321993571,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,12244,644
214,34056,1844679512,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,4120,229
215,34109,2237527445,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,19000,1583
216,34129,1715401022,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,1000,83
217,34150,2295698327,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,2000,100
218,34159,2116967706,11/6/2013,Jean,Female,Web,Clothing,Member,one-day deliver,14,2630,188
219,34202,1417342537,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,750,44
220,34203,1945972955,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,3999,174
221,34234,1243060946,11/6/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,2299,135
222,34352,2190914328,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,0,0
223,34355,1840378911,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,1250,89
224,34466,1888641658,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,6091,358
225,34475,1858013440,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,5291,311
226,34481,1400003697,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,18643,1036
227,34501,1964878507,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,4842,242
228,34502,2162024810,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,3000,167
229,34532,2297642130,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,6500,283
230,34605,2147827535,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,0,0
231,34704,1692286597,11/7/2013,Jean,Female,Web,Clothing,Member,one-day deliver,20,1690,85
232,34918,2078638357,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,4000,308
233,34958,1839562473,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,1349,112
234,34968,1192020485,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,0,0
235,34980,2038313661,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,23,7999,348
236,35022,1706636052,11/7/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,1453,81
237,35113,1972087824,11/8/2013,Jean,Female,Web,Clothing,Member,one-day deliver,20,898,45
238,35147,1332759997,11/8/2013,Jean,Female,Web,Clothing,Member,one-day deliver,13,1748,134
239,35163,2076812534,11/8/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,1799,100
240,35299,1174357252,11/8/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,19775,942
241,35330,1491556143,11/8/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,3999,250
242,35343,1320875518,11/8/2013,Jean,Female,Web,Clothing,Member,one-day deliver,16,1400,88
243,35414,2254006991,11/8/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,3238,202
244,35543,2171744959,11/8/2013,Shirt,Male,Web,clothing,Member,one-day deliver,18,2362,131
245,35560,2155992837,11/8/2013,Shirt,Male,Web,clothing,Member,one-day deliver,18,4520,251
246,35575,1318339951,11/8/2013,Shirt,Male,Web,clothing,Member,one-day deliver,17,650,38
247,35576,1274910915,11/8/2013,Shirt,Male,Web,clothing,Member,one-day deliver,20,2125,106
248,35721,2008291658,11/8/2013,Jean,Female,Web,clothing,Member,one-day deliver,19,5808,306
249,35768,2292099590,11/8/2013,Shirt,Male,Web,clothing,Member,one-day deliver,17,5521,325
250,35772,1483110036,11/8/2013,Shirt,Male,Web,clothing,Member,one-day deliver,16,200,13
252,35878,1923045782,11/9/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,3397,200
253,35958,1349191000,11/9/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,14,1890,135
254,35964,1896019124,11/9/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,2595,124
255,36166,2252116477,11/9/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,4100,205
256,36426,1959236232,11/10/2013,Shirt,Male,Web,Clothing,Member,Normal Delivery,17,0,0
257,36432,2251284830,11/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,15421,907
258,36634,1695628608,11/10/2013,Jean,Female,Web,Clothing,Member,one-day deliver,20,2291,115
259,36714,2264994903,11/10/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,13,995,77
260,36733,1473004662,11/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,2000,91
261,36940,2304442135,11/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,0,0
262,37001,1202612312,11/10/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,13,3388,261
263,37010,2239788698,11/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,795,47
264,37155,1202935844,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,1350,79
265,37280,2267944327,11/11/2013,Jean,Female,Web,Clothing,Member,Normal Delivery,17,0,0
266,37328,2025862081,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,2673,122
267,37377,2183431574,11/11/2013,Jean,Female,Web,Clothing,Member,one-day deliver,17,13385,787
268,37390,1808520581,11/11/2013,Jean,Female,Web,Clothing,Member,one-day deliver,17,11800,694
269,37489,1791649075,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,1684,80
270,37504,1648757327,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,1300,81
271,37506,1624162210,11/11/2013,Shirt,Male,Web,Clothing,Guest,one-day deliver,21,3500,167
272,37523,1667055630,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,18,0,0
273,37527,2195519497,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,16,6176,386
274,37557,2023979848,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,19,5694,300
275,37593,1812665099,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,1199,71
276,37637,1918679490,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,66,4
277,37644,2000790253,11/11/2013,Shirt,Male,Web,Clothing,Member,Normal Delivery,19,9003,474
278,37751,2047941955,11/11/2013,Shirt,Male,Web,Clothing,Member,Normal Delivery,17,13093,770
279,37757,1630101956,11/11/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,199,9
